,Description,clips,category,clip_arrays
609,Body parts dropping and dripping blood (11).,new_clips2/609.mp3,trash,"[ 0.00967767 -0.02796409  0.00809302 ... -0.0070117  -0.04426544
 -0.03771854]"
610,Body parts dropping and dripping blood (10).,new_clips2/610.mp3,trash,"[-6.7925772e-05 -1.8211184e-02  5.6457329e-03 ...  2.8210977e-02
  1.7671207e-02  1.5010213e-02]"
611,Body parts dropping and dripping blood (9).,new_clips2/611.mp3,trash,"[ 0.01174949 -0.03629613  0.01571929 ...  0.01498812  0.01365818
  0.01466348]"
612,Body parts dropping and dripping blood (8).,new_clips2/612.mp3,trash,"[ 0.01611508 -0.07727048  0.0416456  ... -0.03429455 -0.03735275
 -0.03136805]"
613,Body parts dropping and dripping blood (7).,new_clips2/613.mp3,trash,"[ 0.00228261 -0.00535689  0.01210978 ... -0.00877769 -0.00718171
 -0.00488988]"
614,Body parts dropping and dripping blood (6).,new_clips2/614.mp3,trash,"[ 0.00221532 -0.00462173 -0.00791985 ...  0.00429895  0.0029752
  0.0030847 ]"
615,Body parts dropping and dripping blood (5).,new_clips2/615.mp3,trash,"[ 0.00063022 -0.00399662 -0.00150881 ...  0.00740516  0.00214363
  0.00171334]"
616,Body parts dropping and dripping blood (4).,new_clips2/616.mp3,trash,"[-0.01660506 -0.02356068  0.00022659 ...  0.01612415 -0.01849766
  0.00362677]"
617,Body parts dropping and dripping blood (3).,new_clips2/617.mp3,trash,"[ 0.0015059   0.00572559  0.00165561 ... -0.00274835 -0.00425443
 -0.00439511]"
618,Body parts dropping and dripping blood (2).,new_clips2/618.mp3,trash,"[-0.00317747  0.00221866  0.00595216 ...  0.00645096  0.00143454
  0.00422218]"
619,Body parts dropping and dripping blood (1).,new_clips2/619.mp3,trash,"[ 0.00567541  0.08518039  0.00691689 ... -0.03410828 -0.03599488
 -0.03846535]"
620,"Yoga pillow movement - dropping, hitting, and punching.",new_clips2/620.mp3,trash,[0.00296284 0.00485287 0.00917531 ... 0.01671072 0.00942429 0.00836458]
621,Solid rock drop on cardboard.,new_clips2/621.mp3,cardboard,"[-0.21170439 -0.5848148  -0.9419948  ... -0.2374724  -0.23883781
 -0.23917754]"
622,Solid rock drop on cardboard (tape manipulation) (3).,new_clips2/622.mp3,cardboard,"[ 0.03852065  0.05782732  0.1031564  ... -0.09074567 -0.08113254
 -0.07186319]"
623,Solid rock drop on cardboard (tape manipulation) (2).,new_clips2/623.mp3,cardboard,"[ 0.05660851  0.16332394  0.29428747 ... -0.13005988 -0.12102246
 -0.1129674 ]"
624,Solid rock drop on cardboard (tape manipulation) (1).,new_clips2/624.mp3,cardboard,"[ 0.05346015  0.20832145  0.38416356 ... -0.13707806 -0.13220276
 -0.12833908]"
625,Wood being dropped (4).,new_clips2/625.mp3,wood,"[-0.0070452  -0.02241936 -0.03233529 ...  0.04998752  0.05630716
  0.05051549]"
626,Wood being dropped (3).,new_clips2/626.mp3,wood,"[ 0.00686971 -0.0247754  -0.06788807 ...  0.0020462  -0.00507995
 -0.01402426]"
627,Wood being dropped (2).,new_clips2/627.mp3,wood,"[-0.00753104 -0.02024068  0.09429391 ... -0.00626483 -0.01841258
 -0.02568125]"
628,Wood being dropped (1).,new_clips2/628.mp3,wood,"[-0.00512362 -0.00719548 -0.00341127 ... -0.00485577  0.00190652
  0.01044379]"
629,Organic UI element - Dropping something with a jumbled wooden sound.,new_clips2/629.mp3,wood,"[-0.00245644  0.0027517   0.00227562 ... -0.00388516 -0.00091736
 -0.00303177]"
630,Organic UI element - Dropping something with a jumbled wooden sound.,new_clips2/630.mp3,wood,"[-0.07319726 -0.20979448 -0.3309557  ...  0.11029164  0.13779554
 -0.02660253]"
631,"Organic UI element - Dropping something with a light, metallic thud.",new_clips2/631.mp3,metal,"[ 0.03032525  0.00757963 -0.04260961 ...  0.00731966 -0.0127623
  0.05261129]"
632,"Organic UI element - Dropping something with a light, solid thud.",new_clips2/632.mp3,trash,"[-0.01573102 -0.02283068 -0.00900194 ...  0.02493538  0.03380383
  0.03810897]"
633,Organic UI element - Dropping an object with a very soft thud.,new_clips2/633.mp3,trash,"[-4.7485860e-06 -4.9255682e-06  1.6431543e-06 ... -1.5626987e-05
 -2.1748061e-05 -2.7111482e-05]"
634,Organic UI element - Dropping chess pawns in a pile of chess pieces (3).,new_clips2/634.mp3,trash,"[ 0.0297938  -0.13089937 -0.4063756  ... -0.07189376 -0.11404727
 -0.16350295]"
635,Organic UI element - Dropping chess pawns in a pile of chess pieces (2).,new_clips2/635.mp3,trash,"[ 0.01049698 -0.18876313  0.13357478 ...  0.02816942 -0.0153107
 -0.06547988]"
636,Organic UI element - Dropping chess pawns in a pile of chess pieces (1).,new_clips2/636.mp3,trash,[0.05119871 0.04176382 0.03035517 ... 0.02015573 0.07121671 0.08410265]
637,Metal can being dropped in the sand.,new_clips2/637.mp3,metal,"[-0.02312374  0.18534303  0.9036574  ... -0.00163743  0.02189963
  0.04613362]"
638,"Carboard being handled with plastic debris dropping, with reverb.",new_clips2/638.mp3,plastic,"[ 0.10152818  0.1180147   0.11669676 ... -0.20853086 -0.18587196
 -0.16197295]"
639,Rattling and rolling of hubcap on ground.,new_clips2/639.mp3,trash,"[-0.09046765 -0.35732397 -0.29712036 ... -0.03712616  0.10938356
  0.1417557 ]"
640,"Single metal drop on surface, rustling impact.",new_clips2/640.mp3,metal,"[-0.11674437 -0.37957823 -0.4681775  ... -0.2404258  -0.18802652
 -0.17396912]"
641,"Dropping full purse onto floor, series.",new_clips2/641.mp3,trash,"[-0.00216838 -0.02721978 -0.02780768 ...  0.0200258   0.01553058
  0.01396694]"
642,"Beer bottle - dropping and kicking across floor, series.",new_clips2/642.mp3,plastic,"[ 0.18126926  0.2814344  -0.09007782 ...  0.7598294   0.46552697
  0.2715611 ]"
643,"Wooden baseball bat dropped onto dirt, scrape on ground (14).",new_clips2/643.mp3,wood,"[ 0.00419472 -0.03491257  0.04393148 ... -0.00182422 -0.00997005
 -0.01627709]"
644,"Wooden baseball bat dropped onto dirt, scrape on ground (13).",new_clips2/644.mp3,wood,"[ 0.00820146  0.05291175 -0.02114105 ... -0.03095238 -0.03053115
 -0.02837543]"
645,"Wooden baseball bat dropped onto dirt, scrape on ground (12).",new_clips2/645.mp3,wood,"[ 0.07956486  0.08968282  0.09923914 ... -0.16565873 -0.14666569
 -0.12232873]"
646,"Wooden baseball bat dropped onto dirt, scrape on ground (11).",new_clips2/646.mp3,wood,"[ 0.04521412 -0.11512675 -0.17257164 ...  0.05255976  0.05885858
  0.06520959]"
647,"Wooden baseball bat dropped onto dirt, scrape on ground (10).",new_clips2/647.mp3,wood,"[ 0.00021864 -0.03481187 -0.06420065 ...  0.08792745  0.07074676
  0.0479692 ]"
648,"Wooden baseball bat dropped onto dirt, scrape on ground (9).",new_clips2/648.mp3,wood,"[-0.00259118 -0.03615938  0.0118602  ...  0.03410849  0.02648751
  0.01955799]"
649,"Wooden baseball bat dropped onto dirt, scrape on ground (8).",new_clips2/649.mp3,wood,"[-0.00115306  0.09685984 -0.0590128  ...  0.0532378   0.05168492
  0.04394052]"
650,"Wooden baseball bat dropped onto dirt, scrape on ground (7).",new_clips2/650.mp3,wood,"[-0.01617762  0.31662136  0.14295185 ...  0.17425962  0.16497613
  0.14972691]"
651,"Wooden baseball bat dropped onto dirt, scrape on ground (6).",new_clips2/651.mp3,wood,[0.04490201 0.0475474  0.01415053 ... 0.08965615 0.07760273 0.06569955]
652,"Wooden baseball bat dropped onto dirt, scrape on ground (5).",new_clips2/652.mp3,wood,"[-0.00803197 -0.11854288 -0.07765012 ...  0.06812084  0.06699422
  0.06600311]"
653,"Wooden baseball bat dropped onto dirt, scrape on ground (4).",new_clips2/653.mp3,wood,"[-0.04553496 -0.05377848 -0.06442948 ...  0.08089867  0.07379632
  0.06885145]"
654,"Wooden baseball bat dropped onto dirt, scrape on ground (3).",new_clips2/654.mp3,wood,"[-0.12642378  0.19819675  0.31320313 ...  0.17494482  0.17152508
  0.1657207 ]"
655,"Wooden baseball bat dropped onto dirt, scrape on ground (2).",new_clips2/655.mp3,wood,[0.01122856 0.03663269 0.0733871  ... 0.04281675 0.04044016 0.03848241]
656,"Wooden baseball bat dropped onto dirt, scrape on ground (1).",new_clips2/656.mp3,wood,"[-0.02418152 -0.02535376 -0.02685055 ...  0.05040275  0.0439664
  0.03542615]"
657,Wooden baseball bat dropped onto grass with rolling (4).,new_clips2/657.mp3,wood,"[-0.0908008  -0.09326625 -0.09474412 ... -0.1031719  -0.09937621
 -0.09550727]"
658,Wooden baseball bat dropped onto grass with rolling (3).,new_clips2/658.mp3,wood,[0.02417016 0.02900745 0.03035574 ... 0.02398274 0.02415518 0.02488492]
659,Wooden baseball bat dropped onto grass with rolling (2).,new_clips2/659.mp3,wood,"[-0.04178442 -0.04147565 -0.04383211 ... -0.07922865 -0.0718023
 -0.061832  ]"
660,Wooden baseball bat dropped onto grass with rolling (1).,new_clips2/660.mp3,wood,"[ 0.01691916  0.01820327  0.02106278 ... -0.01910024 -0.01900399
 -0.01972292]"
661,Metal baseball bat dropped into dirt - scraping and pebbles (14).,new_clips2/661.mp3,metal,"[-0.00823589  0.03785681 -0.00671453 ...  0.02446678  0.02661119
  0.04506078]"
662,Metal baseball bat dropped into dirt - scraping and pebbles (13).,new_clips2/662.mp3,metal,"[-0.03439363 -0.08927494 -0.05014362 ...  0.03098286  0.0339797
  0.03912213]"
663,Metal baseball bat dropped into dirt - scraping and pebbles (12).,new_clips2/663.mp3,metal,"[-0.00419798 -0.03906704  0.0582272  ...  0.08944203  0.10153779
  0.09225446]"
664,Metal baseball bat dropped into dirt - scraping and pebbles (11).,new_clips2/664.mp3,metal,"[-0.0365807   0.09142824  0.00559342 ...  0.03815681  0.04025978
  0.04099325]"
665,Metal baseball bat dropped into dirt - scraping and pebbles (10).,new_clips2/665.mp3,metal,"[-0.00085854 -0.04062748 -0.05440988 ...  0.05064643  0.04792735
  0.04469651]"
666,Metal baseball bat dropped into dirt - scraping and pebbles (9).,new_clips2/666.mp3,metal,"[ 0.02866116  0.05450258 -0.01112583 ... -0.10552505 -0.09365297
 -0.06728907]"
667,Metal baseball bat dropped into dirt - scraping and pebbles (8).,new_clips2/667.mp3,metal,"[-0.00677341  0.04087499  0.1672982  ...  0.12982665  0.07830557
  0.0396384 ]"
668,Metal baseball bat dropped into dirt - scraping and pebbles (7).,new_clips2/668.mp3,metal,[0.02588974 0.0981075  0.04155685 ... 0.09604153 0.08330476 0.07027261]
669,Metal baseball bat dropped into dirt - scraping and pebbles (6).,new_clips2/669.mp3,metal,"[ 0.0438454  -0.14062002  0.1613604  ...  0.06861734  0.08378573
  0.10187498]"
670,Metal baseball bat dropped into dirt - scraping and pebbles (5).,new_clips2/670.mp3,metal,"[ 0.02794576 -0.08588628  0.06072916 ...  0.0867529   0.08255374
  0.07570927]"
671,Metal baseball bat dropped into dirt - scraping and pebbles (4).,new_clips2/671.mp3,metal,"[-0.0275911   0.09697364 -0.05752717 ... -0.11137668 -0.10892095
 -0.09902254]"
672,Metal baseball bat dropped into dirt - scraping and pebbles (3).,new_clips2/672.mp3,metal,"[-0.00776427 -0.09851035  0.05645445 ...  0.19694586  0.19253574
  0.14169723]"
673,Metal baseball bat dropped into dirt - scraping and pebbles (2).,new_clips2/673.mp3,metal,"[-0.02910958 -0.13982424  0.00354426 ...  0.04901734  0.047398
  0.04355666]"
674,Metal baseball bat dropped into dirt - scraping and pebbles (1).,new_clips2/674.mp3,metal,"[-0.08466651  0.6170394   0.20352896 ...  0.42809942  0.3631117
  0.24824776]"
675,Metal baseball bat dropped in grass with ring (5).,new_clips2/675.mp3,metal,"[ 0.10691122 -0.10682173 -0.11369125 ...  0.1257534   0.1393787
  0.13932435]"
676,Metal baseball bat dropped in grass with ring (4).,new_clips2/676.mp3,metal,[0.001471   0.01140755 0.01428577 ... 0.02062533 0.01984166 0.01743536]
677,Metal baseball bat dropped in grass with ring (3).,new_clips2/677.mp3,metal,"[ 0.07385953 -0.12253259  0.08447554 ...  0.01761141  0.0491021
  0.07817768]"
678,Metal baseball bat dropped in grass with ring (2).,new_clips2/678.mp3,metal,"[ 7.8944518e-05  7.1708843e-02  1.2539489e-02 ... -5.0833378e-02
 -4.7003809e-02 -4.3729287e-02]"
679,Metal baseball bat dropped in grass with ring (1).,new_clips2/679.mp3,metal,"[ 0.00782307  0.05004176  0.03780113 ... -0.024716   -0.02166445
 -0.01915563]"
680,"Sound design - Fluttering, wobbling drop.",new_clips2/680.mp3,trash,"[-0.2546573  -0.2615645  -0.25869834 ...  0.36375803  0.4573788
  0.41348898]"
681,"Breaking ceramic plates - series of drops on floor,",new_clips2/681.mp3,trash,"[-0.22149837  0.90087384  0.9515801  ...  0.9436569   0.97377306
  0.9521555 ]"
682,Change handling - quarters fall onto soft surface.,new_clips2/682.mp3,trash,"[ 0.22680725 -0.25549704  0.29800707 ...  0.1939099  -0.3801825
  0.01516606]"
683,Gun foley - gun dropped onto metal plate.,new_clips2/683.mp3,metal,[0.14482549 0.19487384 0.1666779  ... 0.11337841 0.16312365 0.17186987]
684,Gun foley - gun dropped into metal grate.,new_clips2/684.mp3,metal,"[-0.00732388 -0.06116668 -0.08448068 ... -0.15575813 -0.08951162
  0.05782938]"
685,"Gun foley - gun dropped onto cement, thin (4).",new_clips2/685.mp3,trash,"[ 0.00758529  0.06378015  0.07846273 ... -0.05671182 -0.03665365
 -0.01113972]"
686,"Gun foley - gun dropped onto cement, thin (2).",new_clips2/686.mp3,trash,"[ 0.3140821   0.16329439  0.3995469  ... -0.43711993 -0.11183999
  0.40070534]"
687,"Gun foley - gun dropped onto cement, thin (1).",new_clips2/687.mp3,trash,"[-0.02981358 -0.0572404  -0.10694465 ... -0.0606235   0.12787436
 -0.04783411]"
688,"Baseball bat - ringy, light individual hits (2).",new_clips2/688.mp3,trash,"[ 0.00184308 -0.0064897   0.00796389 ... -0.00258799 -0.00262641
 -0.00255174]"
689,"Baseball bat - ringy, light individual hits.",new_clips2/689.mp3,trash,"[-0.00284646  0.00509309 -0.00102218 ... -0.00443012 -0.00485013
 -0.00341469]"
690,"Baseball bat dropped, rattle and ring out.",new_clips2/690.mp3,trash,"[-0.01405675  0.04996497 -0.01455332 ... -0.07362703 -0.0496722
 -0.01424316]"
691,Dropping bananas on wood and picking up.,new_clips2/691.mp3,wood,"[-0.03039426 -0.03197321 -0.03342531 ... -0.03038674 -0.03062045
 -0.03061362]"
692,Series - Single spice container hitting floor and rolling,new_clips2/692.mp3,trash,"[-0.00741167 -0.05433631 -0.42118004 ...  0.00846741 -0.00325245
  0.00205765]"
693,"Purse foley, dropping up and down.",new_clips2/693.mp3,trash,"[-0.01807413 -0.02391058 -0.02733451 ...  0.02469151  0.01993102
  0.01386862]"
695,Phone dropping into metal grate (3).,new_clips2/695.mp3,metal,"[-0.0072413  -0.00741639 -0.00746924 ...  0.00671544  0.00469472
  0.00723107]"
696,Phone dropping into metal grate (2).,new_clips2/696.mp3,metal,"[-0.00224561 -0.00440649 -0.0052038  ...  0.00247446  0.01020546
  0.00022571]"
697,Phone dropping into metal grate.,new_clips2/697.mp3,metal,"[ 0.02289936  0.02327889  0.02383049 ... -0.01784544 -0.0203859
 -0.02945276]"
698,Series - various drops and hubcapping of handful of spice containers (2).,new_clips2/698.mp3,trash,"[ 0.03292242  0.30270556  0.56810606 ... -0.00223255 -0.04758437
 -0.12519911]"
699,Series - various drops and hubcapping of handful of spice containers,new_clips2/699.mp3,trash,"[-0.06531116  0.7565641   1.06039    ...  0.6472258   0.49416953
  0.32906628]"
700,"Loose coins dropped onto wooden counter, rattle to stop",new_clips2/700.mp3,metal,"[ 0.01013708  0.0347422  -0.05168814 ...  0.01438936  0.02238692
  0.02118897]"
701,"Loose coins dropped onto wooden counter, rattle to stop",new_clips2/701.mp3,metal,"[ 0.00135464  0.0136735   0.02155021 ...  0.00798471  0.00401956
 -0.00834169]"
702,"Phone handling - Series, Shoving Plastic object through metal grate",new_clips2/702.mp3,plastic,"[-0.00688642 -0.00771569 -0.00850684 ...  0.00886634  0.00849885
  0.00820794]"
703,"Cell phone dropped onto cement, series of (x3).",new_clips2/703.mp3,metal,"[ 0.00381881  0.00506379  0.00287996 ... -0.00490536 -0.00433626
 -0.00435518]"
704,"Large metal hatch door dropping, close up.",new_clips2/704.mp3,metal,[0.10153653 0.393421   0.19673353 ... 0.33927962 0.31994966 0.32757372]
705,"Large, heavy metal hatch door dropping, close up.",new_clips2/705.mp3,metal,"[ 0.18763965 -0.31809327 -0.19182621 ... -0.2581453  -0.2711844
 -0.27064133]"
706,Paper coffee cup dropping.,new_clips2/706.mp3,paper,"[-0.01257052 -0.04395103 -0.03139137 ... -0.05123222 -0.03327351
 -0.03223014]"
707,Paper coffee cup being dropped.,new_clips2/707.mp3,paper,"[-0.00320101 -0.0128446  -0.02292209 ... -0.02436953 -0.02123999
 -0.0182086 ]"
708,Paper coffee cup dropping.,new_clips2/708.mp3,paper,"[-0.00570917 -0.02067468 -0.0115713  ...  0.02249243  0.03118446
  0.02139355]"
709,Paper coffee cup dropping.,new_clips2/709.mp3,paper,"[-0.01195208  0.08180261  0.23332506 ... -0.02937634 -0.0133301
 -0.01934387]"
710,Paper coffee cup dropping.,new_clips2/710.mp3,paper,[0.01439097 0.05160015 0.20149657 ... 0.01384796 0.03990868 0.04728165]
711,Duffle bag foley - series of drops and slides. Heavy gear.,new_clips2/711.mp3,trash,"[-0.00269834  0.00114765  0.01729002 ...  0.02971859  0.01431359
  0.0096697 ]"
712,Duffle bag foley - series of firm drops. Heavy gear.,new_clips2/712.mp3,trash,"[-0.01741591 -0.02410364 -0.0248107  ... -0.03082995 -0.02706287
 -0.01495235]"
713,Metal padlock being dropped.,new_clips2/713.mp3,metal,"[ 0.0001723  -0.00880654  0.00561466 ...  0.00460204 -0.00989586
 -0.00896242]"
714,Metal padlock being dropped.,new_clips2/714.mp3,metal,"[ 0.00050537 -0.01523345  0.02599461 ... -0.00061372  0.01936263
  0.0008407 ]"
715,Metal padlock being dropped.,new_clips2/715.mp3,metal,"[-0.00605179 -0.04427987  0.00206736 ...  0.01760197  0.02624006
  0.03212813]"
716,Small piece of metal being dropped and clanging.,new_clips2/716.mp3,metal,"[-0.08271027  0.11820193 -0.1586629  ...  0.0966111   0.21564986
  0.15598936]"
717,Small piece of metal being dropped and clanging.,new_clips2/717.mp3,metal,"[-0.21489845 -0.04359614  0.5290727  ...  0.14189273 -0.16557461
 -0.23541582]"
718,Small piece of metal being dropped and clanging.,new_clips2/718.mp3,metal,"[ 0.15425816  0.35424787  0.24509455 ... -0.2452036  -0.17337063
 -0.08754224]"
719,"Wood being broken on a zither, which is then dropped.",new_clips2/719.mp3,wood,"[-0.00916682 -0.08575499 -0.1407493  ...  0.09967746  0.09009021
  0.0808941 ]"
720,Rubber stick being dropped on the strings of a zither.,new_clips2/720.mp3,trash,"[-0.10642263 -0.12451031 -0.13374661 ...  0.11042496  0.11735153
  0.118233  ]"
721,Rubber stick being dropped on the strings of a zither.,new_clips2/721.mp3,trash,"[ 0.0817247   0.16683377  0.12544802 ... -0.15729159 -0.15997413
 -0.15177195]"
722,"Wood being broken on a zither, which is then dropped.",new_clips2/722.mp3,wood,"[-0.00121234 -0.01641582  0.00325445 ...  0.01989433  0.01832474
  0.01527323]"
723,Bolt being dropped on the strings of a zither.,new_clips2/723.mp3,trash,"[-0.01957716  0.02865591  0.02697938 ...  0.03247986  0.03202628
  0.02657135]"
724,"Wood bolt being dropped on a zither, repeatedly.",new_clips2/724.mp3,wood,[0.00037253 0.00952892 0.01072532 ... 0.01055043 0.00957021 0.00804433]
725,"Wood being broken on a zither, which is then dropped.",new_clips2/725.mp3,wood,"[-0.02018647 -0.02626936 -0.0328989  ... -0.01999612 -0.01974698
 -0.01994395]"
726,"Wood bolt being dropped on a zither, repeatedly.",new_clips2/726.mp3,wood,"[ 0.0336444   0.08534832 -0.08672816 ...  0.01166483 -0.05886593
 -0.1020944 ]"
727,Marble being dropped on zither.,new_clips2/727.mp3,trash,"[-0.0001347   0.00618213 -0.01512467 ... -0.00592721 -0.0052963
 -0.00727972]"
728,Rubber stick being dropped on a string on a zither.,new_clips2/728.mp3,trash,"[ 0.12147076  0.23111959  0.22086251 ... -0.22375417 -0.21578477
 -0.20262864]"
729,Rubber stick being dropped on a string on a zither.,new_clips2/729.mp3,trash,"[-0.00479449 -0.11100487 -0.12757215 ... -0.03766268 -0.03804534
 -0.03769899]"
730,"Rattling element - File being dropping on strings of a zither, with vibration.",new_clips2/730.mp3,trash,"[-0.02174218 -0.07609448 -0.121826   ...  0.1922224   0.21444328
  0.17875662]"
731,Marble being dropped on zither.,new_clips2/731.mp3,trash,"[-0.00264175 -0.00920765 -0.02439431 ...  0.00943825  0.009125
  0.01006997]"
732,Marble being dropped on zither.,new_clips2/732.mp3,trash,"[ 0.04958156  0.04877991  0.05455443 ... -0.06449323 -0.07898974
 -0.075224  ]"
733,Marble being dropped on zither.,new_clips2/733.mp3,trash,"[-0.04035677 -0.07643723 -0.09469254 ...  0.12357371  0.10703852
  0.08315083]"
734,Marble being dropped on zither.,new_clips2/734.mp3,trash,"[-0.00242441 -0.00499498 -0.00761334 ...  0.00580045  0.00772483
  0.00647501]"
735,"Rattling element - File being dropping on strings of a zither, with vibration.",new_clips2/735.mp3,trash,"[-0.03070659  0.05407697  0.01965396 ...  0.04267863  0.06379725
  0.06268145]"
736,Snow being dropped like debris.,new_clips2/736.mp3,trash,"[ 0.02039466  0.02519644  0.02872347 ...  0.03202546 -0.00784386
  0.04188789]"
737,Snow being dropped lightly.,new_clips2/737.mp3,trash,"[-0.00955174  0.01050931  0.01803613 ... -0.0096341   0.02244934
 -0.00529409]"
738,Snow being dropped lightly.,new_clips2/738.mp3,trash,"[ 0.00013819 -0.00693064  0.01205747 ...  0.0034448   0.00869251
 -0.01264298]"
739,Snow being dropped lightly.,new_clips2/739.mp3,trash,"[-0.03798486 -0.04703274 -0.04012364 ...  0.00347277  0.01687057
 -0.0409779 ]"
740,Snow being dropped lightly.,new_clips2/740.mp3,trash,"[-0.00863118 -0.02148934  0.00920771 ...  0.01053357  0.00670623
 -0.03064091]"
741,Snow being dropped lightly into an ice creak.,new_clips2/741.mp3,trash,"[-0.0044163  -0.00872523 -0.00855078 ... -0.0019819  -0.00440896
 -0.00274913]"
742,Snow debris being dropped for a long length of time.,new_clips2/742.mp3,trash,"[ 0.00384765  0.01032097 -0.01774642 ...  0.01001571  0.0009976
 -0.01843175]"
743,Snow dust being swept up fast.,new_clips2/743.mp3,trash,"[ 0.01713464 -0.05073845  0.03140612 ...  0.05126067  0.07102671
 -0.01354733]"
744,Snow dust being swept up fast.,new_clips2/744.mp3,trash,"[-0.04166113 -0.06520582  0.15124243 ... -0.02901633 -0.10682801
 -0.00423729]"
745,Snow dust being swept up fast.,new_clips2/745.mp3,trash,"[ 0.00711711 -0.01375234 -0.0063358  ... -0.07676946 -0.08589256
 -0.07557914]"
746,Snow debris leaving a creaky impact.,new_clips2/746.mp3,trash,"[-0.04842525  0.03244549  0.03593593 ... -0.42083082 -0.32401893
 -0.1844933 ]"
747,Snow leaving a gritty impact.,new_clips2/747.mp3,trash,"[ 0.09278903  0.07031157 -0.10455266 ...  0.09305485  0.02536577
  0.06575329]"
748,"Snow leaving a gritty impact, with ice scraping.",new_clips2/748.mp3,trash,"[ 0.02549158  0.04496739  0.05795975 ... -0.12424666  0.0119446
  0.12663783]"
749,"Snow leaving a gritty impact, with ice scraping.",new_clips2/749.mp3,trash,"[-0.02226988 -0.07574133 -0.16765812 ... -0.04260123  0.04206494
  0.09498478]"
750,"Snow leaving a gritty impact, with ice scraping.",new_clips2/750.mp3,trash,"[-0.06980693 -0.06416866 -0.15906979 ...  0.03987592  0.0213626
  0.03848838]"
751,Coins being dropped into a metal bucket.,new_clips2/751.mp3,metal,"[-0.00395508 -0.10578849 -0.10686714 ... -0.00348871  0.02991351
 -0.1427062 ]"
752,"Coins being dropped into a metal bucket, individually.",new_clips2/752.mp3,metal,"[-0.01831719  0.03372172 -0.03345718 ... -0.04570176  0.04512782
 -0.03527322]"
753,"Coins being handled into a metal bucket, lightly.",new_clips2/753.mp3,metal,"[-0.09287279 -0.18765642 -0.9545188  ...  0.14849    -0.34595287
  0.33306634]"
754,Duffle back being moved and then dropped.,new_clips2/754.mp3,trash,"[-0.10513344 -0.1347039  -0.15333106 ... -0.14349109 -0.12389972
 -0.12861958]"
755,Duffle back being moved and then dropped.,new_clips2/755.mp3,trash,"[-0.08746647 -0.12250753 -0.15332986 ...  0.02331822  0.06199849
  0.06784242]"
756,"Weight lifting - 2.5lb plate dropped on rubber mat, faint fluorescent light hum.",new_clips2/756.mp3,trash,"[ 0.00283913 -0.04170574 -0.08802728 ... -0.04851533 -0.04577909
 -0.03618557]"
757,"Weight lifting - dropping 2.5 lb weight on rubber mat, edge of plate",new_clips2/757.mp3,trash,"[-0.00092663 -0.00153085 -0.00168674 ...  0.00259102  0.00220546
  0.00180796]"
758,"Metal 2.5 weight being dropped on a rubber mat hard from up high, faint fluorescent hum in background.",new_clips2/758.mp3,metal,"[-0.0150673  -0.02239168 -0.0171836  ...  0.03397868  0.02690752
  0.01888818]"
759,Metal 2.5 pound weight being dropped on a rubber mat hard from up high.,new_clips2/759.mp3,metal,"[-0.00336419 -0.01317318 -0.0392442  ... -0.01809988 -0.01744079
 -0.01565008]"
760,Metal 2.5 pound weight being dropped on a rubber mat hard from low height.,new_clips2/760.mp3,metal,"[-6.2979496e-05 -7.9251481e-03 -2.5618311e-02 ... -2.0086872e-03
 -5.9452392e-03 -7.5637745e-03]"
761,Metal 2.5 pound weight being dropped on a rubber mat hard from medium height.,new_clips2/761.mp3,metal,"[-0.01146184 -0.02712609 -0.04736312 ... -0.00840992 -0.00974297
 -0.01311588]"
762,Metal 2.5 pound weight being dropped on a rubber mat and rolling to the carpet with a faint fluorescent hum.,new_clips2/762.mp3,metal,"[-0.00094    -0.00213537 -0.0029644  ...  0.00510534  0.00423016
  0.00303906]"
763,Metal 2.5 pound weight being dropped on a rubber mat with a smack.,new_clips2/763.mp3,metal,"[-0.03029046 -0.03117586 -0.04481066 ...  0.06381413  0.06111313
  0.0507346 ]"
764,Metal 2.5 pound weight being dropped on a rubber mat with a quiet wobble.,new_clips2/764.mp3,metal,"[-0.00977928 -0.0116292  -0.00856274 ... -0.04082506 -0.03552865
 -0.02356211]"
765,"Weight lifting - 5lb plate dropped on rubber mat - edge of plate, toppling.",new_clips2/765.mp3,trash,[0.00056962 0.00107757 0.00033639 ... 0.00271831 0.00211744 0.00167747]
766,"Weight lifting - 5lb plate dropped on rubber mat - high height, hard impact.",new_clips2/766.mp3,trash,"[-0.01550461 -0.02174972 -0.02293645 ...  0.009673    0.00948671
  0.01770838]"
767,Weight lifting - 5lb plate dropped on rubber mat - high height.,new_clips2/767.mp3,trash,"[-0.00856836 -0.00996183 -0.01210322 ...  0.00584291  0.00891913
  0.01000031]"
768,Weight lifting - 5lb plate dropped on rubber mat - low height.,new_clips2/768.mp3,trash,"[ 0.000219   -0.00932436 -0.02338379 ... -0.00078826 -0.00033046
 -0.00120781]"
769,"Weight lifting - 5lb plate dropped on rubber mat - medium height, abrupt, firm impact.",new_clips2/769.mp3,trash,"[-0.00748689 -0.04415668 -0.06652538 ... -0.02243158 -0.02721027
 -0.02464363]"
770,"Weight lifting - 5lb plate dropped on rubber mat - medium height, simple.",new_clips2/770.mp3,trash,"[-0.01190995 -0.03148365 -0.0285717  ...  0.00186024  0.00846648
  0.0142364 ]"
